learning_decay,n_components,log_likelihood
0.6,20,-28068401.74847238
0.6,21,-28073938.23245276
0.6,22,-28065154.632336725
0.6,23,-28075172.747550756
0.6,24,-28065675.236493926
0.6,25,-28072937.046548508
0.6,26,-28074028.157146405
0.6,27,-28085592.712684948
0.6,28,-28094586.318290103
0.6,29,-28096086.153214406
0.6,30,-28098256.926743053
0.75,20,-28157035.638854116
0.75,21,-28132939.439575564
0.75,22,-28128366.961567234
0.75,23,-28149484.224175967
0.75,24,-28148530.69863666
0.75,25,-28165892.9446285
0.75,26,-28165144.06802819
0.75,27,-28183295.53310029
0.75,28,-28184323.299645882
0.75,29,-28205265.510759424
0.75,30,-28195171.727041405
0.9,20,-28206409.58609612
0.9,21,-28210305.93923121
0.9,22,-28193938.967002094
0.9,23,-28216414.035418976
0.9,24,-28223266.19529637
0.9,25,-28246900.92564848
0.9,26,-28251008.357212532
0.9,27,-28263548.83233019
0.9,28,-28286740.023246575
0.9,29,-28309063.52625215
0.9,30,-28309849.524105538
