id_evento,tema_principal,tema_0,tema_1,tema_2
0976/10,0,0.9839,0.016,0.0001
0977/10,2,0.0001,0.0001,0.9999
0972/10,2,0.0043,0.0001,0.9956
0998/10,0,0.966,0.0095,0.0245
1001/10,2,0.0272,0.0001,0.9728
0987/10,1,0.0001,0.9998,0.0001
0991/10,2,0.0035,0.0001,0.9965
1031/10,2,0.1035,0.0002,0.8963
1032/10,2,0.2401,0.1296,0.6304
1030/10,2,0.0001,0.0102,0.9896
1029/10,2,0.0969,0.1143,0.7888
1028/10,2,0.0041,0.1434,0.8525
1036/10,2,0.0001,0.1312,0.8687
1035/10,2,0.0001,0.0117,0.9883
1044/10,2,0.018,0.0778,0.9042
1041/10,2,0.0362,0.0529,0.9109
1078/10,1,0.0155,0.9684,0.0161
1076/10,2,0.0002,0.0002,0.9996
1085/10,1,0.0004,0.9992,0.0004
1106/10,1,0.0282,0.9444,0.0274
1112/10,1,0.0001,0.9828,0.0171
1125/10,1,0.0002,0.9586,0.0412
1151/10,2,0.2354,0.0001,0.7646
1147/10,2,0.4315,0.0001,0.5684
1159/10,1,0.0002,0.9996,0.0002
1164/10,0,0.8891,0.0421,0.0688
1184/10,1,0.0001,0.9194,0.0805
1197/10,1,0.4131,0.5594,0.0276
1205/10,1,0.0002,0.9995,0.0002
1244/10,0,0.956,0.0001,0.0439
1220/10,1,0.0002,0.9995,0.0003
1246/10,1,0.0324,0.9352,0.0324
1263/10,1,0.0002,0.999,0.0009
1261/10,0,0.9545,0.0001,0.0454
1288/10,2,0.1676,0.0077,0.8247
1278/10,1,0.0116,0.9867,0.0017
1308/10,1,0.0001,0.9997,0.0001
1303/10,2,0.0086,0.007,0.9844
1330/10,1,0.0002,0.7886,0.2112
1312/10,2,0.0002,0.0112,0.9885
0092/11,1,0.0003,0.9994,0.0003
0139/11,0,0.925,0.0076,0.0674
0153/11,1,0.0001,0.8369,0.163
0171/11,1,0.0017,0.9967,0.0016
0178/11,1,0.004,0.8422,0.1538
0196/11,1,0.0003,0.9995,0.0003
0232/11,2,0.0013,0.0115,0.9872
0211/11,1,0.003,0.9969,0.0001
0239/11,1,0.0004,0.7533,0.2464
0257/11,1,0.0006,0.9988,0.0006
0245/11,1,0.0002,0.954,0.0458
0304/11,2,0.2344,0.0001,0.7655
0310/11,1,0.0026,0.579,0.4184
0306/11,1,0.0001,0.5084,0.4915
0350/11,2,0.0269,0.0537,0.9194
0411/11,2,0.0107,0.1162,0.8731
0455/11,2,0.0473,0.0001,0.9525
0478/11,2,0.0477,0.0956,0.8567
0506/11,0,0.9671,0.0001,0.0328
0541/11,2,0.0001,0.0009,0.999
0538T/11,2,0.0001,0.0001,0.9998
0538/11,2,0.0001,0.0001,0.9999
0527/11,0,0.5085,0.2522,0.2393
0629/11,0,0.9999,0.0001,0.0001
0653/11,1,0.016,0.9651,0.0189
0644/11,1,0.4602,0.5397,0.0002
0705/11,0,0.9935,0.0001,0.0064
0742/11,0,0.8862,0.0332,0.0806
0744/11,2,0.0043,0.0227,0.973
0783/11,0,0.9998,0.0001,0.0001
0818/11,2,0.0065,0.0001,0.9934
0848/11,0,0.9999,0.0,0.0
0846/11,2,0.0001,0.0001,0.9998
0872/11,0,0.9999,0.0,0.0
0902/11,2,0.0001,0.0106,0.9893
0891/11,0,0.9999,0.0001,0.0001
0919/11,2,0.0001,0.0272,0.9727
0970/11,2,0.2007,0.0027,0.7966
0994/11,2,0.0847,0.0228,0.8925
1000/11,2,0.0497,0.0478,0.9025
1022/11,2,0.0006,0.0004,0.9991
