tema,termo_0,termo_1,termo_2,termo_3,termo_4,termo_5,termo_6,termo_7,termo_8,termo_9
0,produt,agricult,rural,produç,terr,set,milhã,empr,banc,merc
1,it,matér,parec,projet lei,retir,emend,constitucional,constituc,técn legisl,propos
2,human,direit human,crianç,viol,lut,mulh,gent,políci,crim,adolesc
